Team,HS,AS,HST,AST,HC,AC,HO,AO,HY,AY,HR,AR,WinStreakHome,LossStreakHome,WinStreakAway,LossStreakAway,HomeTeamForm,AwayTeamForm
Wigan,12.2,12.2,3.8,6.8,5.4,4.2,0.0,0.0,2.0,1.4,0.0,0.2,1.0,1.2,0.8,3.2,3.4,2.4
Crystal Palace,8.8,10.2,3.4,4.4,5.0,5.6,0.0,0.0,3.0,2.6,0.0,0.0,0.8,1.2,1.2,0.6,5.8,5.4
Wycombe,9.0,7.0,3.6,1.6,7.8,3.2,0.0,0.0,1.8,2.0,0.0,0.0,0.4,0.6,1.6,1.2,4.0,5.0
York,10.8,7.6,5.2,4.0,4.2,3.8,0.0,0.0,1.6,2.4,0.0,0.0,3.4,0.6,0.2,1.4,2.6,2.8
Nott'm Forest,11.2,7.4,3.8,2.8,6.4,2.6,0.0,0.0,1.2,2.0,0.0,0.0,1.2,0.2,0.6,2.4,4.4,4.4
Rotherham,12.0,6.8,4.4,2.4,6.0,2.6,0.0,0.0,0.6,2.0,0.0,0.2,1.4,0.0,0.2,3.0,4.2,4.0
Wrexham,12.2,8.2,5.4,4.0,6.4,4.4,0.0,0.0,0.8,2.6,0.6,0.2,0.6,0.8,1.4,2.2,6.2,3.4
Stoke,12.4,8.2,4.8,3.0,7.2,4.4,0.0,0.0,2.0,2.2,0.0,0.2,2.0,0.0,0.0,4.0,4.2,2.6
Rushden & D,12.4,11.2,6.0,5.0,5.4,6.4,0.0,0.0,1.0,1.8,0.0,0.0,2.4,0.4,0.4,1.0,3.6,4.8
Lincoln,12.4,13.6,5.8,3.4,5.2,6.8,0.0,0.0,1.4,1.4,0.0,0.4,1.0,1.0,0.4,1.4,2.8,4.0
Blackpool,12.0,9.4,6.2,3.0,5.2,3.8,0.0,0.0,0.8,1.0,0.0,0.2,1.2,1.8,0.2,1.2,6.0,5.4
Chesterfield,8.6,8.8,4.8,5.0,4.8,3.6,0.0,0.0,0.8,1.0,0.2,0.0,0.8,0.4,1.4,1.2,5.0,5.4
Ipswich,9.6,11.2,4.6,4.0,4.2,5.0,0.0,0.0,1.6,2.0,0.0,0.0,3.6,0.0,0.2,1.8,2.8,3.8
Wolves,15.8,10.4,5.6,3.8,5.8,4.8,0.0,0.0,1.4,2.2,0.0,0.0,0.0,3.0,1.8,0.0,5.6,5.4
Bury,11.6,8.8,5.4,4.0,6.4,3.8,0.0,0.0,0.4,0.6,0.0,0.0,2.0,0.6,0.6,0.6,4.2,5.8
Stockport,11.2,6.6,4.2,3.0,7.6,4.0,0.0,0.0,1.0,2.2,0.0,0.0,0.8,0.6,0.6,0.4,4.0,4.4
Plymouth,15.2,8.0,5.2,3.0,7.0,3.2,0.0,0.0,2.0,2.4,0.0,0.0,2.6,0.6,0.4,1.2,3.8,4.2
Peterboro,18.0,10.2,7.0,4.4,7.2,3.6,0.0,0.0,1.6,2.4,0.0,0.2,1.0,0.2,0.4,2.4,5.4,2.6
Tranmere,11.2,14.0,3.2,5.8,6.6,5.2,0.0,0.0,1.2,2.0,0.0,0.0,0.2,1.4,1.2,0.0,3.8,4.2
Watford,12.0,8.4,5.6,3.0,4.8,3.6,0.0,0.0,1.4,1.8,0.0,0.4,1.4,0.2,0.2,3.6,6.0,3.4
Cardiff,11.6,8.6,5.2,3.0,7.4,4.6,0.0,0.0,2.2,2.6,0.0,0.0,1.8,0.2,0.4,1.8,5.2,3.4
Barnsley,12.0,12.0,5.6,4.0,5.4,5.6,0.0,0.0,1.0,1.6,0.2,0.0,2.0,0.2,0.4,1.2,3.8,4.2
Hartlepool,15.4,7.8,7.4,3.0,6.4,6.0,0.0,0.0,0.2,1.8,0.0,0.0,1.4,0.2,0.4,1.2,5.0,4.0
Crewe,11.4,13.8,6.0,7.4,3.6,6.0,0.0,0.0,1.8,1.4,0.0,0.0,1.4,1.0,1.2,0.4,3.6,4.8
Swansea,10.6,12.2,4.0,5.6,6.4,5.8,0.0,0.0,1.6,0.4,0.0,0.0,1.0,0.6,0.8,1.2,5.0,3.8
Leyton Orient,12.0,9.8,6.2,3.4,8.4,4.6,0.0,0.0,1.2,1.8,0.0,0.2,1.8,0.6,0.2,2.4,5.8,3.6
Scunthorpe,10.8,12.2,5.0,6.6,6.6,6.2,0.0,0.0,2.8,2.6,0.0,0.0,0.8,0.4,0.8,0.8,5.4,4.8
Shrewsbury,11.2,8.6,5.4,4.0,5.8,4.0,0.0,0.0,1.8,2.4,0.2,0.2,1.4,0.4,0.0,4.0,4.0,2.8
Southend,12.0,12.8,5.4,6.4,4.8,6.8,0.0,0.0,1.2,2.4,0.2,0.2,0.4,1.2,1.2,0.6,6.0,5.0
Torquay,9.8,9.8,4.4,4.2,5.6,5.6,0.0,0.0,1.8,1.2,0.0,0.2,2.8,0.2,0.2,2.0,3.4,4.0
Swindon,9.0,11.2,4.2,5.4,6.2,6.4,0.0,0.0,1.6,1.6,0.0,0.2,1.8,0.6,0.4,0.6,3.4,5.0
Cambridge,11.8,10.4,5.6,3.2,5.4,5.0,0.0,0.0,1.6,2.2,0.2,0.2,4.6,0.0,0.0,3.6,1.8,3.8
Cheltenham,10.6,11.8,5.0,6.2,6.2,5.2,0.0,0.0,2.2,1.4,0.0,0.0,2.0,0.2,0.2,3.4,4.0,2.6
Bournemouth,11.2,14.8,4.8,5.6,3.6,6.6,0.0,0.0,2.8,1.0,0.0,0.2,0.8,1.2,1.2,0.6,5.0,6.0
Bristol City,14.6,12.0,4.2,5.8,5.6,3.6,0.0,0.0,1.2,2.2,0.2,0.0,0.6,1.0,1.4,0.0,3.0,4.2
Hull,10.0,11.8,4.6,4.8,5.0,5.6,0.0,0.0,1.4,1.6,0.2,0.0,1.0,0.8,0.4,1.2,5.0,4.4
Milton Keynes Dons,11.0,9.0,4.8,4.8,5.8,5.2,0.0,0.0,2.2,2.4,0.0,0.0,0.4,0.6,0.4,1.6,3.8,4.4
Oldham,13.4,6.2,6.6,1.8,6.6,5.4,0.0,0.0,1.4,1.2,0.0,0.0,1.4,0.8,0.4,2.4,5.8,4.0
Port Vale,12.4,10.0,4.0,5.6,6.2,3.8,0.0,0.0,1.6,2.8,0.0,0.0,1.0,0.8,0.6,1.8,4.4,3.4
Luton,9.8,12.0,4.0,4.6,7.4,7.2,0.0,0.0,1.2,1.8,0.0,0.2,1.4,1.2,1.2,1.6,4.2,4.0
Walsall,13.2,8.0,5.8,3.2,5.0,3.8,0.0,0.0,1.8,1.6,0.0,0.0,1.0,0.4,0.4,0.8,6.6,4.6
Gillingham,16.4,12.2,6.4,3.4,5.6,5.4,0.0,0.0,1.6,2.0,0.2,0.0,2.2,0.2,0.2,1.4,2.8,5.0
Oxford,9.0,11.6,4.2,4.6,5.0,5.4,0.0,0.0,1.2,1.2,0.0,0.0,1.0,0.8,0.8,0.2,3.8,4.6
Northampton,12.0,7.8,4.2,4.2,5.2,4.4,0.0,0.0,2.2,1.6,0.0,0.2,1.0,0.8,0.6,0.6,3.8,3.0
Derby,12.6,9.2,4.6,4.2,5.8,3.6,0.0,0.0,1.2,1.6,0.2,0.0,2.0,0.4,1.2,2.2,3.2,4.4
Macclesfield,12.0,11.6,5.0,6.4,6.6,7.0,0.0,0.0,1.2,1.8,0.0,0.2,0.8,0.6,0.2,1.0,5.6,3.8
Liverpool,12.6,8.6,6.2,3.2,3.4,4.0,0.0,0.0,1.0,1.6,0.0,0.0,12.0,0.6,0.6,1.0,1.6,6.0
Fulham,15.8,11.4,4.8,4.2,4.6,4.6,0.0,0.0,1.0,1.2,0.2,0.0,0.8,0.6,0.4,1.8,3.6,3.6
Charlton,15.0,10.6,6.2,5.0,7.2,5.6,0.0,0.0,1.0,1.6,0.0,0.2,1.6,0.6,0.6,0.6,4.6,5.4
Preston,12.4,10.0,5.8,3.4,6.8,4.8,0.0,0.0,0.8,0.6,0.0,0.0,1.0,0.6,1.6,0.8,4.0,5.8
Leeds,14.6,11.2,6.0,4.8,7.0,5.2,0.0,0.0,1.4,2.8,0.0,0.0,1.6,0.6,0.4,0.8,4.8,4.8
QPR,14.4,9.8,6.0,4.8,5.8,4.4,0.0,0.0,2.0,2.0,0.0,0.0,1.2,1.0,0.8,0.8,5.4,5.8
Man City,9.6,10.0,2.0,3.6,4.8,5.4,0.0,0.0,2.0,2.0,0.0,0.0,6.2,0.4,1.8,0.4,2.4,7.4
Bolton,12.2,9.4,6.8,2.8,5.4,6.6,0.0,0.0,1.4,2.4,0.0,0.0,3.4,0.6,0.6,2.6,4.8,4.4
Portsmouth,15.0,9.8,7.0,4.4,7.2,5.4,0.0,0.0,0.6,2.2,0.0,0.0,0.6,0.4,0.2,2.2,5.6,4.0
Middlesbrough,16.6,8.0,6.0,3.4,7.4,4.2,0.0,0.0,1.0,1.6,0.2,0.0,1.4,0.6,1.2,1.2,3.6,4.8
Dundee United,8.4,10.0,3.6,3.6,6.0,5.6,0.0,0.0,1.4,1.6,0.2,0.0,1.6,1.0,0.8,1.6,4.8,4.4
Dunfermline,13.0,8.6,6.0,3.2,5.8,5.0,0.0,0.0,1.0,2.2,0.0,0.0,1.2,0.6,0.2,6.2,3.6,1.6
Sheffield United,12.0,10.0,4.0,3.8,4.0,5.6,0.0,0.0,1.2,1.0,0.0,0.0,1.4,0.4,0.8,2.0,5.2,4.4
Tottenham,14.2,13.0,6.6,4.8,5.6,5.4,0.0,0.0,1.4,2.4,0.0,0.0,1.8,0.0,0.0,2.0,4.0,4.0
Aston Villa,10.4,13.2,4.0,7.0,5.2,3.4,0.0,0.0,1.2,2.0,0.4,0.2,0.2,0.8,1.4,1.0,5.2,3.8
Newcastle,14.0,8.6,6.0,2.8,8.2,3.6,0.0,0.0,1.4,3.2,0.0,0.2,2.8,0.2,0.2,1.6,2.2,3.2
Hearts,9.6,11.8,2.6,5.0,7.4,5.4,0.0,0.0,2.2,1.8,0.2,0.4,1.0,0.8,0.6,1.0,3.8,3.6
Sheffield Weds,11.6,10.6,3.8,3.4,6.0,5.8,0.0,0.0,0.6,0.8,0.0,0.2,0.8,0.8,1.0,0.4,4.4,5.8
Leicester,13.8,14.8,7.2,5.0,5.0,5.4,0.0,0.0,2.4,2.4,0.0,0.0,0.8,0.6,0.6,1.2,3.2,3.0
Millwall,9.4,8.4,3.4,3.8,6.6,3.6,0.0,0.0,1.2,1.0,0.0,0.2,1.0,1.0,0.8,0.4,3.8,4.2
Inverness C,11.4,7.6,5.2,2.4,5.4,4.8,0.0,0.0,0.6,0.8,0.2,0.2,3.4,0.0,0.6,1.4,4.8,5.4
Halifax,7.8,7.6,3.8,2.8,4.2,6.8,0.0,0.0,1.4,1.2,0.0,0.4,3.0,0.0,0.0,3.0,3.8,2.0
Kidderminster,9.8,12.2,5.6,5.8,5.4,5.6,0.0,0.0,1.6,2.2,0.0,0.0,2.0,1.0,0.4,1.2,5.6,4.6
Morecambe,11.4,10.0,4.2,4.4,5.0,3.8,0.0,0.0,1.8,1.6,0.0,0.0,1.6,1.0,0.6,1.0,4.2,3.8
Northwich,12.6,7.2,5.0,3.6,6.2,2.4,0.0,0.0,1.6,1.4,0.0,0.0,0.8,2.4,0.6,1.2,6.8,3.8
Forest Green,11.0,11.8,4.8,5.4,5.4,4.2,0.0,0.0,2.2,2.0,0.2,0.0,0.8,0.4,0.2,1.4,2.6,4.0
Notts County,10.0,9.8,4.8,5.6,7.2,6.2,0.0,0.0,0.6,1.8,0.0,0.0,1.0,0.6,0.2,1.6,6.4,4.4
Reading,11.6,12.8,6.0,5.8,5.0,6.2,0.0,0.0,0.4,0.4,0.2,0.0,1.0,1.4,2.0,2.2,3.6,5.6
Exeter,11.4,10.6,4.8,3.8,5.2,7.8,0.0,0.0,1.0,1.0,0.0,0.4,3.2,0.2,0.2,1.4,2.8,6.0
Crawley Town,13.4,9.4,6.0,2.8,5.6,3.8,0.0,0.0,2.0,2.6,0.2,0.0,6.2,0.0,0.0,2.8,0.6,3.2
Burton,11.6,11.6,5.0,6.0,4.8,5.8,0.0,0.0,1.6,1.2,0.0,0.0,1.2,1.4,1.4,0.0,3.8,5.8
Doncaster,10.8,8.8,5.6,3.0,4.8,6.0,0.0,0.0,1.0,1.2,0.0,0.4,1.2,0.2,0.0,6.8,4.8,3.2
Bristol Rvs,12.0,7.6,4.6,4.2,6.4,5.0,0.0,0.0,2.2,1.2,0.0,0.0,0.4,0.8,0.8,1.8,4.4,4.4
Yeovil,13.4,8.4,5.0,2.8,4.8,3.4,0.0,0.0,2.0,1.2,0.0,0.0,0.6,0.8,1.4,1.4,4.2,5.6
Stevenage,10.8,14.0,5.2,7.0,7.6,5.4,0.0,0.0,1.6,2.4,0.4,0.0,0.0,1.8,2.0,0.0,5.6,4.6
Grimsby,12.8,9.0,5.0,3.4,7.8,4.0,0.0,0.0,0.6,1.8,0.2,0.2,0.0,4.2,1.0,0.4,8.2,2.2
Carlisle,12.4,12.4,4.6,4.6,4.2,5.6,0.0,0.0,1.0,1.2,0.0,0.2,2.6,0.2,0.2,1.4,3.0,5.8
Mansfield,10.0,8.2,5.8,3.8,6.2,3.6,0.0,0.0,1.6,1.6,0.0,0.0,0.2,0.8,0.8,2.6,5.0,3.0
Boston,9.4,6.4,4.8,3.6,6.2,5.0,0.0,0.0,1.4,1.6,0.0,0.0,1.4,1.6,0.8,3.0,4.4,3.0
Woking,10.6,10.4,6.0,4.4,7.0,7.2,0.0,0.0,1.2,1.6,0.0,0.0,0.8,0.2,0.2,2.0,4.0,4.8
Chester,9.8,10.4,3.6,5.6,8.4,4.6,0.0,0.0,1.8,2.8,0.2,0.4,0.4,1.2,0.6,1.0,4.6,4.0
Brighton,13.0,10.4,4.8,5.6,5.4,6.6,0.0,0.0,1.4,2.0,0.0,0.0,0.4,1.4,1.0,1.4,5.0,4.4
Dag and Red,11.2,9.2,3.6,3.4,5.4,5.6,0.0,0.0,2.0,1.2,0.0,0.0,0.6,1.0,1.8,1.4,3.8,5.8
Accrington,12.8,11.6,4.0,4.0,6.6,3.8,0.0,0.0,2.0,2.6,0.0,0.0,0.6,1.2,0.8,0.6,6.0,6.0
Aldershot,10.8,10.4,4.0,4.2,7.0,4.2,0.0,0.0,1.8,1.2,0.0,0.0,1.2,0.4,0.8,0.2,4.4,4.2
Histon,12.6,8.2,6.8,4.8,5.8,4.8,0.0,0.0,1.6,1.4,0.0,0.2,0.6,0.4,0.4,2.0,5.0,3.6
