hist_wins,hist_losses,hist_win_loss_perc,hist_avg_points_for,hist_avg_points_against,hist_avg_yards_for,hist_avg_yards_against,hist_avg_turnovers,team,win_loss_diff,points_for_diff,points_against_diff,yards_for_diff,yards_against_diff,turnovers_diff
0,5,0.0,266.0,375.2,4395.0,5817.8,21.0,Washington Redskins,-0.4324324324324324,-97.40540540540542,-4.77297297297298,-1187.8918918918916,71.96216216216271,-2.0540540540540526
3,2,0.6,383.0,388.0,5873.0,5801.4,18.0,Green Bay Packers,0.16756756756756758,19.594594594594582,8.027027027027032,290.10810810810835,55.56216216216217,-5.054054054054053
4,1,0.8,451.0,350.6,6366.0,5652.4,28.0,Buffalo Bills,0.36756756756756764,87.59459459459458,-29.372972972972946,783.1081081081084,-93.43783783783783,4.945945945945947
0,5,0.0,236.0,366.2,4510.0,5676.2,20.0,Carolina Panthers,-0.4324324324324324,-127.40540540540542,-13.77297297297298,-1072.8918918918916,-69.63783783783765,-3.0540540540540526
5,0,1.0,396.0,349.6,5710.0,5424.6,37.0,Cleveland Browns,0.5675675675675675,32.59459459459458,-30.372972972972946,127.10810810810835,-321.2378378378371,13.945945945945947
5,0,1.0,509.0,424.0,6317.0,6218.0,16.0,Dallas Cowboys,0.5675675675675675,145.59459459459458,44.02702702702703,734.1081081081084,472.16216216216253,-7.054054054054053
3,2,0.6,461.0,419.2,6712.0,6086.2,23.0,Detroit Lions,0.16756756756756758,97.59459459459458,39.22702702702702,1129.1081081081084,340.36216216216235,-0.054054054054052614
2,3,0.4,366.0,362.2,5422.0,5698.4,16.0,Cincinnati Bengals,-0.03243243243243238,2.5945945945945823,-17.77297297297298,-160.89189189189165,-47.43783783783783,-7.054054054054053
1,4,0.2,371.0,453.4,5972.0,6371.2,28.0,Kansas City Chiefs,-0.2324324324324324,7.594594594594582,73.42702702702701,389.10810810810835,625.3621621621623,4.945945945945947
4,1,0.8,496.0,416.4,6822.0,5903.4,25.0,Miami Dolphins,0.36756756756756764,132.59459459459458,36.42702702702701,1239.1081081081084,157.56216216216217,1.9459459459459474
0,5,0.0,266.0,411.0,4760.0,5952.2,19.0,New York Giants,-0.4324324324324324,-97.40540540540542,31.02702702702703,-822.8918918918916,206.36216216216235,-4.054054054054053
